Reactant_Br,Reactant_Alkyne,Product,Yield,Reaction_Subclass,Reaction SMILES
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1ccc(OC)cc1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(OC)cc3)nn2)nc1C,12.25587884,3Y,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(OC)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(OC)cc3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1cccs1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccs3)nn2)nc1C,0,3N,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccs1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccs3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1ccc(F)cc1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(F)cc3)nn2)nc1C,51.46326181,3Y,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(F)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(F)cc3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1ccncc1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccncc3)nn2)nc1C,53.49058276,3Y,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccncc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccncc3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1ccc(C#N)cc1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(C#N)cc3)nn2)nc1C,18.16241742,3Y,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(C#N)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(C#N)cc3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1ccc(C(=O)O)cc1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(C(=O)O)cc3)nn2)nc1C,0,3N,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1ccc(C(=O)O)cc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3ccc(C(=O)O)cc3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1cccnc1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccnc3)nn2)nc1C,0,3N,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccnc1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccnc3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#Cc1cccc([N+](=O)[O-])c1,CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccc([N+](=O)[O-])c3)nn2)nc1C,21.18099666,3Y,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccc([N+](=O)[O-])c1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccc([N+](=O)[O-])c3)nn2)nc1C
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#CC(=O)OCC,CCOC(=O)c1cn(CC(=O)Nc2nc(C)c(C(=O)OCC)s2)nn1,33.17239643,3Y,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#CC(=O)OCC>CCOC(=O)c1cn(CC(=O)Nc2nc(C)c(C(=O)OCC)s2)nn1
CCOC(=O)c1sc(NC(=O)CBr)nc1C,C#CCN,CCOC(=O)c1sc(NC(=O)Cn2cc(CN)nn2)nc1C,0,3N,CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#CCN>CCOC(=O)c1sc(NC(=O)Cn2cc(CN)nn2)nc1C
