Reaction SMILES,Reaction_Subclass
Brc1ccc2c(c1)OCO2.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc4c(c3)OCO4)nn2)cc1,2Y
FC(F)(F)c1ccccc1CBr.C#CC(O)(c1ccccc1)c1ccccc1>OC(c1ccccc1)(c1ccccc1)c1cn(Cc2ccccc2C(F)(F)F)nn1,3Y
Clc1ccc2cc(Br)ccc2n1.C#CC(C)=O>CC(=O)c1cn(-c2ccc3nc(Cl)ccc3c2)nn1,2Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1cccc(Cl)c1>FC(F)(F)c1ccc(-n2cc(-c3cccc(Cl)c3)nn2)cc1,2N
FC(F)(F)c1ccccc1CBr.C#CC(=C)C>C=C(C)c1cn(Cc2ccccc2C(F)(F)F)nn1,3Y
O=c1[nH]cc(Br)c(=O)[nH]1.C#CCCCC(=O)O>O=C(O)CCCc1cn(-c2c[nH]c(=O)[nH]c2=O)nn1,2N
Cc1ccnc(Br)c1.C#CCC(=O)OC>COC(=O)Cc1cn(-c2cc(C)ccn2)nn1,2N
CC(C)(C)OC(=O)N1CCCC(Br)C1.C#Cc1cccnc1>CC(C)(C)OC(=O)N1CCCC(n2cc(-c3cccnc3)nn2)C1,3N
N#CCCCBr.C#CCCCCC(=O)O>N#CCCCn1cc(CCCCC(=O)O)nn1,3Y
Clc1ccc2cc(Br)ccc2n1.C#Cc1ccc(OC)cc1>COc1ccc(-c2cn(-c3ccc4nc(Cl)ccc4c3)nn2)cc1,2Y
O=[N+]([O-])CBr.C#Cc1cccc([N+](=O)[O-])c1>O=[N+]([O-])Cn1cc(-c2cccc([N+](=O)[O-])c2)nn1,3N
O=Cc1cccc(Br)n1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3cccc(C=O)n3)nn2)cc1,2Y
CCOC(=O)CCBr.C#CC(=O)OCC>CCOC(=O)CCn1cc(C(=O)OCC)nn1,3N
Brc1ccc(Oc2ccccc2)cc1.C#Cc1ccsc1>c1ccc(Oc2ccc(-n3cc(-c4ccsc4)nn3)cc2)cc1,2N
Fc1ccc(Br)c(Cl)c1.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc(F)cc2Cl)nn1,2N
COc1ccc(Br)cc1OC.C#Cc1ccc(Cl)cc1>COc1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1OC,2N
COc1ccc(Br)c(OC)c1.C#Cc1cccnc1>COc1ccc(-n2cc(-c3cccnc3)nn2)c(OC)c1,2Y
O=[N+]([O-])c1ccc(CBr)cc1.C#Cc1cccs1>O=[N+]([O-])c1ccc(Cn2cc(-c3cccs3)nn2)cc1,3N
O=[N+]([O-])CBr.C#Cc1ccccn1>O=[N+]([O-])Cn1cc(-c2ccccn2)nn1,3N
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#CCCCC(=O)O>CC(C)(C)OC(=O)N1CCC(Cn2cc(CCCC(=O)O)nn2)CC1,3Y
OCCCBr.C#CCc1ccccc1>OCCCn1cc(Cc2ccccc2)nn1,3N
O=c1[nH]cc(Br)c(=O)[nH]1.C#CC(O)c1ccccc1>O=c1[nH]cc(-n2cc(C(O)c3ccccc3)nn2)c(=O)[nH]1,2N
Fc1ccc(Br)c(Cl)c1.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,2Y
Nc1cc(Br)ncn1.C#CCc1ccccc1>Nc1cc(-n2cc(Cc3ccccc3)nn2)ncn1,2N
Clc1ccc2cc(Br)ccc2n1.C#Cc1cccnc1>Clc1ccc2cc(-n3cc(-c4cccnc4)nn3)ccc2n1,2N
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1.C#CC(=O)OCC>CCOC(=O)c1cn(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)nn1,3Y
CC(C)(C)OC(=O)N1CCC(Br)C1.C#Cc1ccc(F)cc1>CC(C)(C)OC(=O)N1CCC(n2cc(-c3ccc(F)cc3)nn2)C1,3N
CCOC(=O)c1sc(NC(=O)CBr)nc1C.C#Cc1cccc([N+](=O)[O-])c1>CCOC(=O)c1sc(NC(=O)Cn2cc(-c3cccc([N+](=O)[O-])c3)nn2)nc1C,3Y
FC(F)(F)c1ccc(Br)cc1.C#Cc1ccc([N+](=O)[O-])cc1>O=[N+]([O-])c1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nn2)cc1,2Y
CC(C)(C)c1ccc(CBr)cc1.C#Cc1cccc(N)c1>CC(C)(C)c1ccc(Cn2cc(-c3cccc(N)c3)nn2)cc1,3Y
O=[N+]([O-])CBr.C#CC(C)=O>CC(=O)c1cn(C[N+](=O)[O-])nn1,3N
ClCCCCBr.C#Cc1ccc(C(=O)O)cc1>O=C(O)c1ccc(-c2cn(CCCCCl)nn2)cc1,3Y
COc1ccc(Br)cc1.C#Cc1cccc(N)c1>COc1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1,2Y
O=[N+]([O-])CBr.C#Cc1cccnc1>O=[N+]([O-])Cn1cc(-c2cccnc2)nn1,3N
CNS(=O)(=O)c1ccc(Br)cc1.C#CC(=O)OC(C)(C)C>CNS(=O)(=O)c1ccc(-n2cc(C(=O)OC(C)(C)C)nn2)cc1,2N
CC(=O)c1ccc(Br)cc1.C#CC(C)(O)C=C>C=CC(C)(O)c1cn(-c2ccc(C(C)=O)cc2)nn1,2N
O=C1Cc2ccc(Br)cc2N1.C#Cc1cccs1>O=C1Cc2ccc(-n3cc(-c4cccs4)nn3)cc2N1,2N
COC(=O)c1cccc(Br)n1.C#Cc1ccc(F)cc1>COC(=O)c1cccc(-n2cc(-c3ccc(F)cc3)nn2)n1,2N
BrCCCOCc1ccccc1.C#CCN(CC)CC>CCN(CC)Cc1cn(CCCOCc2ccccc2)nn1,3Y
COc1ccc(Br)c(OC)c1.C#Cc1ccc(C(=O)O)cc1>COc1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)c(OC)c1,2Y
COc1ccc(Br)c(OC)c1.C#CS(=O)(=O)c1ccc(C)cc1>COc1ccc(-n2cc(S(=O)(=O)c3ccc(C)cc3)nn2)c(OC)c1,2N
Brc1nc2ccccc2s1.C#Cc1ccc(C#N)cc1>N#Cc1ccc(-c2cn(-c3nc4ccccc4s3)nn2)cc1,2Y
CC(C)(C)OC(=O)N1CCC(CBr)CC1.C#CC(=O)OCC>CCOC(=O)c1cn(CC2CCN(C(=O)OC(C)(C)C)CC2)nn1,3N
COC(=O)c1cccc(Br)n1.C#Cc1cccnc1>COC(=O)c1cccc(-n2cc(-c3cccnc3)nn2)n1,2N
Brc1ccc2c(c1)OCO2.C#CC(=O)OCC>CCOC(=O)c1cn(-c2ccc3c(c2)OCO3)nn1,2Y
